"Player","Team","Positions","IP","K","SV","BS","HD","ERA","WHIP","ER","H","BB","HR","G","W","L","Rost%"
"Antonio Jimenez","SF","","19.8","15","0","0","1","4.47","1.41","10","20","8","2","20","1","1","0%"
"Matt Pushard","MIA","","19.3","16","0","0","1","4.55","1.41","10","19","8","3","19","1","1","0%"
"Joey Gerber","TB","RP","19.0","18","0","0","1","4.63","1.44","10","19","9","3","19","1","1","0%"
"Andre Granillo","STL","RP","16.1","15","0","0","1","4.60","1.45","8","15","8","2","16","1","1","0%"
"Cole Henry","WSH","SP,RP","44.9","38","0","0","3","4.91","1.44","25","43","22","7","42","2","3","0%"
"Josh Ekness","MIA","","12.8","12","0","0","1","4.70","1.45","7","12","6","2","13","1","1","0%"
"Matt Svanson","STL","","22.8","16","0","0","1","4.51","1.44","11","24","9","3","23","1","1","0%"
"Jonathan Heasley","CWS","RP","21.4","16","0","0","1","4.86","1.39","12","23","7","3","19","1","1","0%"
"Joel Peguero","SF","RP","15.5","11","0","0","1","4.62","1.50","8","16","7","2","16","1","1","0%"
"Ryan Cusick","ATH","SP,RP","14.0","11","0","0","1","5.03","1.53","8","14","8","2","14","1","1","0%"
"Andrew Moore","CIN","RP","28.3","30","0","0","1","4.86","1.54","15","26","17","4","28","1","2","0%"
"Rodolfo Martinez","BAL","","18.0","17","0","0","0","5.00","1.44","10","18","8","3","18","0","0","0%"
"Juan Mejia","COL","RP","20.4","18","0","0","1","5.00","1.58","11","21","11","3","21","1","1","0%"
"Jacob Wallace","KC","RP","11.6","10","0","0","1","4.85","1.53","6","11","7","1","12","0","1","0%"
"Tanner Dodson","ATH","CF,RP","10.8","8","0","0","1","4.79","1.60","6","11","6","1","11","0","1",""
""
""
